epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s
1,0.01401,0.16559,0.31163,0.01048,0.15413,0.28719,37.20,0.9067,0.000399,4.13
2,0.01057,0.15945,0.29822,0.00982,0.14795,0.27666,37.62,0.9141,0.000398,4.12
3,0.01024,0.15250,0.28676,0.00928,0.14121,0.26543,37.90,0.9216,0.000394,4.11
4,0.00975,0.14918,0.28106,0.00915,0.13938,0.26236,37.97,0.9234,0.000390,4.06
5,0.00960,0.14801,0.27900,0.00929,0.13876,0.26147,37.92,0.9240,0.000385,4.07
6,0.00959,0.14744,0.27808,0.00914,0.13832,0.26063,37.99,0.9244,0.000378,4.10
7,0.00952,0.14670,0.27670,0.00903,0.13790,0.25984,38.09,0.9248,0.000371,4.06
8,0.00950,0.14671,0.27681,0.00900,0.13766,0.25943,38.10,0.9250,0.000362,4.05
9,0.00945,0.14659,0.27652,0.00899,0.13740,0.25899,38.12,0.9253,0.000352,4.05
10,0.00947,0.14657,0.27657,0.00897,0.13710,0.25850,38.13,0.9256,0.000342,4.05
11,0.00943,0.14579,0.27519,0.00892,0.13677,0.25791,38.16,0.9259,0.000330,4.04
12,0.00941,0.14582,0.27532,0.00893,0.13657,0.25762,38.16,0.9260,0.000318,4.05
13,0.00940,0.14542,0.27462,0.00909,0.13647,0.25763,38.05,0.9261,0.000305,4.04
14,0.00941,0.14532,0.27450,0.00894,0.13613,0.25688,38.12,0.9264,0.000291,4.06
15,0.00934,0.14446,0.27292,0.00895,0.13559,0.25604,38.16,0.9269,0.000277,4.06
16,0.00935,0.14471,0.27344,0.00896,0.13560,0.25604,38.11,0.9268,0.000262,4.04
17,0.00934,0.14389,0.27199,0.00886,0.13524,0.25536,38.18,0.9271,0.000247,4.05
18,0.00928,0.14378,0.27179,0.00888,0.13521,0.25529,38.18,0.9271,0.000232,4.04
19,0.00930,0.14335,0.27104,0.00878,0.13459,0.25418,38.26,0.9277,0.000216,4.04
20,0.00927,0.14381,0.27182,0.00881,0.13450,0.25405,38.25,0.9277,0.000200,4.04
21,0.00930,0.14373,0.27168,0.00882,0.13459,0.25417,38.23,0.9276,0.000185,4.04
22,0.00927,0.14354,0.27135,0.00877,0.13431,0.25367,38.26,0.9278,0.000169,4.05
23,0.00924,0.14324,0.27074,0.00874,0.13416,0.25339,38.29,0.9279,0.000154,4.04
24,0.00923,0.14314,0.27063,0.00874,0.13405,0.25319,38.30,0.9281,0.000139,4.05
25,0.00920,0.14269,0.26976,0.00872,0.13386,0.25283,38.31,0.9282,0.000124,4.06
26,0.00921,0.14274,0.26988,0.00871,0.13383,0.25277,38.32,0.9282,0.000110,4.05
27,0.00920,0.14278,0.26990,0.00872,0.13375,0.25266,38.31,0.9282,0.000096,4.04
28,0.00919,0.14262,0.26959,0.00873,0.13381,0.25275,38.30,0.9283,0.000083,4.04
29,0.00919,0.14260,0.26961,0.00871,0.13362,0.25242,38.32,0.9284,0.000071,4.04
30,0.00919,0.14253,0.26946,0.00875,0.13377,0.25269,38.28,0.9282,0.000059,4.05
31,0.00918,0.14236,0.26915,0.00871,0.13355,0.25229,38.32,0.9284,0.000049,4.03
32,0.00920,0.14284,0.27007,0.00870,0.13353,0.25224,38.33,0.9285,0.000039,4.04
33,0.00918,0.14247,0.26934,0.00870,0.13361,0.25238,38.32,0.9284,0.000030,4.05
34,0.00917,0.14242,0.26929,0.00870,0.13361,0.25237,38.32,0.9284,0.000023,4.05
35,0.00916,0.14216,0.26877,0.00870,0.13354,0.25226,38.32,0.9284,0.000016,4.03
36,0.00916,0.14219,0.26885,0.00870,0.13354,0.25226,38.33,0.9284,0.000011,4.05
37,0.00919,0.14278,0.26990,0.00869,0.13351,0.25220,38.33,0.9285,0.000007,4.04
38,0.00915,0.14205,0.26855,0.00870,0.13350,0.25218,38.33,0.9285,0.000003,4.07
39,0.00916,0.14225,0.26892,0.00869,0.13351,0.25219,38.33,0.9285,0.000002,4.08
40,0.00918,0.14265,0.26971,0.00869,0.13352,0.25221,38.33,0.9285,0.000001,4.05
